id,text,source,language_pair,category,severity_hint,risk_flag
CS016,"गैस हो रही है (gas ho rahi hai)
Literal: There is gas
Meaning: Bloating/belching/flatulence/epigastric discomfort; common lay label for upper GI symptoms.
Cultural context: Used broadly for abdominal discomfort.
Synonyms/variants: एसिडिटी, अपच
Disambiguation questions: फुलाव, डकार या जलन में से क्या प्रमुख है? | कब से है? | वज़न घटा है? | एंटासिड से राहत?",cultural_semantics,hi-en,Gastrointestinal,mild,False
CS017,"उल्टी जैसा लग रहा है (ulti jaisa lag raha hai)
Literal: Feels like vomiting
Meaning: Nausea; check pregnancy possibility, gastritis, infection, migraine.
Cultural context: Often linked to ‘gas’ or ‘heat’.
Synonyms/variants: मतली, जी मिचलाना
Disambiguation questions: कितनी बार उल्टी हुई? | गर्भावस्था की संभावना? | बुखार/दस्त साथ में? | पानी पी पा रहे हैं?",cultural_semantics,hi-en,Gastrointestinal / Pregnancy,mild_to_moderate,True
CS018,"दिल धड़क रहा है (dil dhadak raha hai)
Literal: The heart is beating
Meaning: Palpitations; may be anxiety, arrhythmia, hyperthyroid, anemia, caffeine.
Cultural context: Used for awareness of heartbeat especially during stress.
Synonyms/variants: धक-धक हो रही है, धड़कन तेज़
Disambiguation questions: एपिसोड कितनी देर रहते हैं? | बेहोशी/ब्लैकआउट? | कैफीन/थायरॉइड/एनीमिया का इतिहास?",cultural_semantics,hi-en,Cardiac / Anxiety,mild_to_moderate,True
CS019,"गर्भ ठहर नहीं रहा (garbh thahar nahin raha)
Literal: Pregnancy is not staying
Meaning: Recurrent early pregnancy loss or difficulty maintaining pregnancy.
Cultural context: Sensitive topic; may imply prior miscarriages.
Synonyms/variants: बार-बार गर्भपात, गर्भ टिक नहीं रहा
Disambiguation questions: कितनी बार ऐसा हुआ? | कितने सप्ताह पर गर्भपात हुआ? | कोई जाँच/ट्रीटमेंट करवाया?",cultural_semantics,hi-en,Reproductive Health,significant,True
CS020,"नींद नहीं आती (neend nahi aati)
Literal: Sleep doesn’t come
Meaning: Insomnia; could be stress, anxiety, depression, or lifestyle related.
Cultural context: Common idiom expressing sleeplessness due to worry or stress.
Synonyms/variants: नींद उड़ गई, रात भर जागा
Disambiguation questions: कब से नींद नहीं आ रही? | सोने की कोशिश में क्या सोचते रहते हैं? | दवाइयाँ या मोबाइल का उपयोग रात में?",cultural_semantics,hi-en,Mental Health / Sleep,mild_to_moderate,True
CS021,"मुँह में छाले हो गए हैं (munh mein chhale ho gaye hain)
Literal: Mouth ulcers have formed
Meaning: Aphthous ulcers or nutritional deficiency; can relate to stress or acidity.
Cultural context: Often attributed to ‘body heat’ (गर्मी) or spicy food.
Synonyms/variants: छाले पड़े हैं, मुंह जल रहा है
Disambiguation questions: क्या खाना खाते समय जलन होती है? | पहले भी ऐसा हुआ है? | कौनसा टूथपेस्ट या दवा उपयोग कर रहे हैं?",cultural_semantics,hi-en,ENT / Gastrointestinal,mild,False
CS022,"सर भारी लग रहा है (sar bhaari lag raha hai)
Literal: Head feels heavy
Meaning: Could indicate sinusitis, migraine, stress, or hypertension.
Cultural context: Used broadly for dull headache or stress.
Synonyms/variants: सिर भारी है, सर चकरा रहा है
Disambiguation questions: क्या नाक बंद है या जुकाम? | दर्द सिर के किस हिस्से में है? | कितनी देर रहता है?",cultural_semantics,hi-en,Neurology / ENT,mild_to_moderate,False
CS023,"सिर में दर्द घूमता है (sir mein dard ghoomta hai)
Literal: Pain moves around in the head
Meaning: Migrainous or tension-type headache; sometimes sinus-related.
Cultural context: Used to describe radiating or shifting headache pain.
Synonyms/variants: घूमने वाला सिरदर्द, कभी इधर कभी उधर दर्द
Disambiguation questions: दर्द किस हिस्से में ज़्यादा होता है? | क्या उल्टी या रोशनी से परेशानी? | कितनी बार ऐसा होता है?",cultural_semantics,hi-en,Neurology,moderate,True
CS024,"पेट फूल गया है (pet phool gaya hai)
Literal: The stomach has bloated
Meaning: Abdominal distension due to gas, IBS, constipation, or ascites.
Cultural context: Lay term for bloating; often attributed to ‘gas’.
Synonyms/variants: पेट में फुलावट, गैस बन गई है
Disambiguation questions: क्या दर्द या उल्टी है? | खाना खाने के बाद बढ़ता है? | मल नियमित आता है?",cultural_semantics,hi-en,Gastrointestinal,mild,False
CS025,"कंधा जाम हो गया है (kandha jam ho gaya hai)
Literal: Shoulder has jammed
Meaning: Frozen shoulder or adhesive capsulitis; often diabetic or post-injury.
Cultural context: Colloquial for restricted movement of shoulder.
Synonyms/variants: कंधा नहीं घूम रहा, हाथ ऊपर नहीं उठता
Disambiguation questions: कब से जाम है? | क्या चोट लगी थी? | डायबिटीज़ है?",cultural_semantics,hi-en,Musculoskeletal,moderate,False
CS026,"गले में खराश है (gale mein kharash hai)
Literal: There is a roughness in the throat
Meaning: Pharyngitis or throat irritation; viral, allergic, or reflux cause.
Cultural context: Common seasonal complaint; often mild.
Synonyms/variants: गला खराब है, गला दुख रहा है
Disambiguation questions: कितने दिन से है? | खांसी या बुखार है? | गले में सूजन दिखी?",cultural_semantics,hi-en,ENT / Respiratory,mild,False
CS027,"सांस में घरघराहट है (saans mein ghargharaahat hai)
Literal: There is wheezing in breath
Meaning: Asthma, bronchitis, or allergy-related wheeze.
Cultural context: Used for noisy breathing during exertion or cold.
Synonyms/variants: सीटी जैसी सांस, घुटन
Disambiguation questions: कितनी बार सांस फूलती है? | इनहेलर से राहत मिलती है? | कभी रात में बढ़ता है?",cultural_semantics,hi-en,Respiratory,moderate,True
CS028,"दिल बैठ जाता है (dil baith jaata hai)
Literal: The heart sinks
Meaning: Sudden sadness, panic, or emotional shock; could also describe faintness.
Cultural context: Metaphor for emotional overwhelm or presyncope.
Synonyms/variants: मन बैठ जाता है, दिल टूट गया
Disambiguation questions: क्या बेहोशी जैसा लगता है? | कोई तनाव या दुखद घटना? | धड़कन तेज़ होती है?",cultural_semantics,hi-en,Mental Health / Cardiac,mild_to_moderate,True
CS029,"हाथ-पैर सुन्न हो गए (haath-pair sunn ho gaye)
Literal: Hands and feet have gone numb
Meaning: Paresthesia due to neuropathy, anxiety, or vascular issues.
Cultural context: Common idiom for tingling or numbness.
Synonyms/variants: सुई चुभने जैसा लगना, झनझनाहट
Disambiguation questions: कब से ऐसा होता है? | क्या डायबिटीज़ है? | चेहरे पर भी असर?",cultural_semantics,hi-en,Neurology,moderate,True
CS030,"भूख नहीं लगती (bhookh nahi lagti)
Literal: Don’t feel hungry
Meaning: Loss of appetite; may indicate infection, depression, hypothyroidism, or gastritis.
Cultural context: Common phrase to describe poor appetite or malaise.
Synonyms/variants: खाने का मन नहीं करता, भूख मर गई
Disambiguation questions: कब से भूख कम है? | वज़न घटा है? | खाना देखकर घिन या मन नहीं करता?",cultural_semantics,hi-en,General / Gastrointestinal / Mental Health,mild_to_moderate,True
CS031,"पसीना छूट रहा है (paseena chhoot raha hai)
Literal: Sweat is breaking out
Meaning: Could indicate anxiety, hypoglycemia, fever, or cardiac distress.
Cultural context: Used when sweating excessively during tension or weakness.
Synonyms/variants: बहुत पसीना आ रहा है, सारा बदन भीग गया
Disambiguation questions: पसीना कब आता है — मेहनत में या आराम में? | क्या चक्कर या कमजोरी भी होती है? | शुगर की जांच हुई?",cultural_semantics,hi-en,Endocrine / Cardiac / Anxiety,varies,True
CS032,"आँखों के आगे अंधेरा छा जाता है (aankhon ke aage andhera chha jaata hai)
Literal: Darkness comes before the eyes
Meaning: Syncope, dizziness, or hypotension; can also mean emotional shock.
Cultural context: Describes momentary blackout or faintness.
Synonyms/variants: बेहोशी जैसा लगता है, दम घुटता है
Disambiguation questions: कितनी देर के लिए अंधेरा आता है? | कभी बेहोश हुए? | क्या दिल की धड़कन तेज़ हो जाती है?",cultural_semantics,hi-en,Neurology / Cardiovascular,moderate,True
CS033,"कान बज रहे हैं (kaan baj rahe hain)
Literal: Ears are ringing
Meaning: Tinnitus; may be due to infection, hearing loss, or medication side effect.
Cultural context: Used to describe humming or buzzing in ears.
Synonyms/variants: कानों में आवाज़, भिनभिनाहट
Disambiguation questions: कब से बज रहे हैं? | क्या सुनाई कम देता है? | कोई दवा शुरू की थी हाल में?",cultural_semantics,hi-en,ENT / Neurology,mild_to_moderate,False
CS034,"पेट में मरोड़ है (pet mein marod hai)
Literal: There is twisting in the stomach
Meaning: Abdominal cramps; possible infection, dysmenorrhea, or IBS.
Cultural context: Describes cramp-like abdominal pain; common lay expression.
Synonyms/variants: पेट में ऐंठन, दर्द उठ रहा है
Disambiguation questions: कब से दर्द है? | दस्त या उल्टी है? | क्या पीरियड्स के दौरान होता है?",cultural_semantics,hi-en,Gastrointestinal / Reproductive,moderate,True
CS035,"बदन दर्द हो रहा है (badan dard ho raha hai)
Literal: Body is aching
Meaning: Myalgia from viral infection, exertion, or fatigue.
Cultural context: Used broadly for muscle aches with fever or fatigue.
Synonyms/variants: सारे बदन में दर्द, कमर टूट रही है
Disambiguation questions: क्या बुखार भी है? | कितने दिन से दर्द है? | आराम से ठीक होता है?",cultural_semantics,hi-en,General / Infectious,mild_to_moderate,False
CS036,"सांस रुक-सी जाती है (saans ruk si jaati hai)
Literal: Breath seems to stop
Meaning: Sleep apnea, asthma, panic attack, or heart failure.
Cultural context: Used when waking up gasping or feeling suffocated.
Synonyms/variants: सांस अटक जाती है, घुटन होती है
Disambiguation questions: क्या ये नींद में होता है? | खर्राटे आते हैं? | लेटने पर बढ़ता है?",cultural_semantics,hi-en,Respiratory / Sleep,serious,True
CS037,"दिल में घबराहट होती है (dil mein ghabrahat hoti hai)
Literal: There is restlessness in the heart
Meaning: Anxiety, palpitations, or panic episodes; sometimes cardiac ischemia in elders.
Cultural context: Widely used to describe uneasiness or panic sensations.
Synonyms/variants: घबराहट लगती है, दिल धकधक करता है
Disambiguation questions: क्या घबराहट किसी खास समय या जगह पर होती है? | धड़कन तेज़ होती है? | क्या आराम करने से ठीक होती है?",cultural_semantics,hi-en,Mental Health / Cardiac,moderate,True
CS038,"मुँह कड़वा लग रहा है (munh kadwa lag raha hai)
Literal: Mouth tastes bitter
Meaning: Dysgeusia or nausea; may be due to fever, liver issues, or gastritis.
Cultural context: Common idiom for malaise or poor appetite.
Synonyms/variants: मुँह खराब है, स्वाद नहीं आ रहा
Disambiguation questions: कब से मुँह कड़वा लग रहा है? | भूख लगी? | पेशाब या आँखों का रंग बदला?",cultural_semantics,hi-en,Gastrointestinal / Hepatic,mild_to_moderate,True
CS039,"पैर में झनझनाहट है (pair mein jhanjhanahat hai)
Literal: There is tingling in the leg
Meaning: Peripheral neuropathy, vitamin deficiency, or anxiety.
Cultural context: Frequent complaint among diabetics or B12 deficiency.
Synonyms/variants: सुई चुभने जैसा, सुन्नपन
Disambiguation questions: क्या डायबिटीज़ है? | कब से झनझनाहट है? | चलने में दिक्कत?",cultural_semantics,hi-en,Neurology / Endocrine,moderate,True
CS040,"कमर टूट रही है (kamar toot rahi hai)
Literal: The back feels like it’s breaking
Meaning: Severe backache or fatigue; could relate to musculoskeletal strain, menstruation, or viral fever.
Cultural context: Used for body ache from overwork, fever, or menstruation.
Synonyms/variants: पीठ दर्द, बदन दर्द
Disambiguation questions: कब से दर्द है? | क्या पीरियड्स या बुखार के साथ है? | लेटने पर या उठने पर बढ़ता है?",cultural_semantics,hi-en,Musculoskeletal / General,moderate,False
CS041,"खून पतला है (khoon patla hai)
Literal: The blood is thin
Meaning: May refer to anticoagulant use or perceived weakness; not a medical diagnosis unless medication-related.
Cultural context: Common misbelief; often used when bruising or bleeding occurs easily.
Synonyms/variants: ब्लड पतला है, ज्यादा ब्लीडिंग होती है
Disambiguation questions: क्या डॉक्टर ने कोई ब्लड पतला करने की दवा दी? | खून बहने की शिकायत है? | कोई दवा जैसे Ecosprin ले रहे हैं?",cultural_semantics,hi-en,Hematology / Lay Belief,varies,True
CS042,"पैरों में सूजन है (pairon mein soojan hai)
Literal: There is swelling in the legs
Meaning: Pedal edema due to cardiac, renal, hepatic, or nutritional cause.
Cultural context: Used both medically and non-medically; may relate to prolonged standing.
Synonyms/variants: टखनों में सूजन, एड़ी फूल गई
Disambiguation questions: सूजन कब बढ़ती है? | सांस फूलती है? | पेशाब कम हो गया है?",cultural_semantics,hi-en,Cardiac / Renal / Hepatic,moderate,True
CS043,"दिल बैठ जाता है डर के मारे (dil baith jaata hai dar ke maare)
Literal: Heart sinks out of fear
Meaning: Acute anxiety or panic triggered by fear stimulus.
Cultural context: Common idiom for fear-induced physical sensations.
Synonyms/variants: जान निकल गई, दम घुट गया
Disambiguation questions: किस बात से डर लगा? | क्या ऐसा पहले भी हुआ? | दिल की धड़कन तेज़ हो जाती है?",cultural_semantics,hi-en,Mental Health / Anxiety,mild_to_moderate,True
CS044,"पेशाब बार-बार आता है (peshab baar-baar aata hai)
Literal: Urine comes frequently
Meaning: Urinary frequency; consider UTI, diabetes, or prostate issues.
Cultural context: Lay complaint often linked to ‘sugar’ or cold exposure.
Synonyms/variants: बार-बार पेशाब लगना, टॉयलेट जाते रहना
Disambiguation questions: क्या पेशाब में जलन है? | रात में कितनी बार उठते हैं? | शुगर कंट्रोल में है?",cultural_semantics,hi-en,Genitourinary / Endocrine,moderate,True
CS045,"छाती में भारीपन है (chhati mein bhaaripan hai)
Literal: There is heaviness in the chest
Meaning: Could mean cardiac discomfort, anxiety, or respiratory congestion.
Cultural context: Ambiguous term requiring detailed probing.
Synonyms/variants: सीने में दबाव, दिल भारी लग रहा
Disambiguation questions: क्या दर्द मेहनत पर बढ़ता है? | क्या सांस फूलती है? | दर्द कहीं और फैलता है?",cultural_semantics,hi-en,Cardiac / Respiratory / Anxiety,moderate,True
CS046,"पेट साफ नहीं होता (pet saaf nahi hota)
Literal: Stomach doesn’t get cleaned
Meaning: Constipation or incomplete evacuation; common digestive concern.
Cultural context: Common Indian idiom for irregular bowel movements.
Synonyms/variants: कब्ज़ है, मल नहीं निकलता
Disambiguation questions: कितने दिन में टॉयलेट जाते हैं? | क्या मल सख्त रहता है? | खाना और पानी कैसा लेते हैं?",cultural_semantics,hi-en,Gastrointestinal,mild_to_moderate,False
CS047,"गर्मी बढ़ गई है शरीर में (garmi badh gayi hai shareer mein)
Literal: Heat has increased in the body
Meaning: Lay explanation for fever, acne, ulcers, or restlessness.
Cultural context: Ayurvedic notion of body ‘heat’ imbalance.
Synonyms/variants: बॉडी में गर्मी है, शरीर जल रहा है
Disambiguation questions: क्या बुखार है? | धूप या गर्म चीज़ों से बढ़ता है? | पानी कितना पीते हैं?",cultural_semantics,hi-en,General / Cultural Belief,varies,False
CS048,"सिर घूम रहा है (sir ghoom raha hai)
Literal: Head is spinning
Meaning: Vertigo or dizziness; due to inner ear or low BP.
Cultural context: Used interchangeably with ‘chakkar aana’.
Synonyms/variants: चक्कर आ रहा है, सर चकरा रहा है
Disambiguation questions: कब होता है — उठने पर या लगातार? | क्या उल्टी आती है? | कान में बजना?",cultural_semantics,hi-en,Neurology / ENT,moderate,True
CS049,"आँखों में जलन है (aankhon mein jalan hai)
Literal: There is burning in the eyes
Meaning: Eye irritation from dryness, infection, or allergy.
Cultural context: Frequent idiom for irritation due to pollution or heat.
Synonyms/variants: आँख दुख रही है, आँखों में खुजली
Disambiguation questions: क्या पानी या मवाद निकलता है? | क्या रोशनी से परेशानी होती है? | स्क्रीन पर कितनी देर रहते हैं?",cultural_semantics,hi-en,Ophthalmology / ENT,mild_to_moderate,False
CS050,"पेट में गैस चढ़ जाती है (pet mein gas chadh jaati hai)
Literal: Gas rises up in the stomach
Meaning: Bloating or reflux; often misattributed cause for chest discomfort.
Cultural context: Common explanatory phrase in India for acidity-related symptoms.
Synonyms/variants: गैस ऊपर चढ़ गई, डकारें आती हैं
Disambiguation questions: क्या डकारें आती हैं? | खाने के बाद बढ़ता है? | सीने में जलन होती है?",cultural_semantics,hi-en,Gastrointestinal,mild_to_moderate,True
CS051,"गला सूख रहा है (gala sookh raha hai)
Literal: Throat is drying up
Meaning: Dry mouth; dehydration, anxiety, or medication side effect.
Cultural context: Used to describe thirst or nervous dryness of mouth.
Synonyms/variants: मुँह सूख रहा है, तृषा लग रही है
Disambiguation questions: क्या पानी ज़्यादा पी रहे हैं? | शुगर की जांच हुई? | गर्मी या डर के वक्त बढ़ता है?",cultural_semantics,hi-en,ENT / Endocrine / Mental Health,mild,False
CS052,"मुँह से बदबू आती है (munh se badboo aati hai)
Literal: Bad smell comes from mouth
Meaning: Halitosis; could stem from poor oral hygiene, gastritis, or sinus issues.
Cultural context: Socially sensitive complaint in India, often linked to ‘pet saaf nahi hona’.
Synonyms/variants: साँस से बदबू, मुँह में खराब स्वाद
Disambiguation questions: क्या पेट ठीक रहता है? | मुँह धोने के बाद भी बदबू रहती है? | कोई दाँत या मसूड़े में दर्द?",cultural_semantics,hi-en,ENT / Dental / Gastrointestinal,mild_to_moderate,False
CS053,"मुँह में मिठास लगती है (munh mein mithaas lagti hai)
Literal: Mouth tastes sweet
Meaning: Possible hyperglycemia symptom or altered taste sensation.
Cultural context: Some diabetics describe sweet taste or sticky saliva.
Synonyms/variants: थूक चिपचिपा, मुँह में अजीब स्वाद
Disambiguation questions: क्या शुगर की दवा चल रही है? | पेशाब ज़्यादा आता है? | थकान या प्यास लगती है?",cultural_semantics,hi-en,Endocrine / General,mild,True
CS054,"माथा गर्म लग रहा है (maatha garam lag raha hai)
Literal: Forehead feels hot
Meaning: Fever or localized headache; common indicator of illness.
Cultural context: Lay method of identifying fever by touch.
Synonyms/variants: बुखार जैसा लग रहा है, शरीर गर्म लग रहा
Disambiguation questions: क्या तापमान नापा? | कब से गर्मी लग रही है? | कोई और लक्षण साथ में?",cultural_semantics,hi-en,General / Infectious,mild_to_moderate,False
CS055,"नाक बंद है (naak band hai)
Literal: Nose is blocked
Meaning: Nasal congestion; could be due to cold, allergy, or sinusitis.
Cultural context: Extremely common Indian idiom during cold weather.
Synonyms/variants: नाक से सांस नहीं आती, जुकाम है
Disambiguation questions: कब से नाक बंद है? | क्या बुखार है? | क्या एलर्जी होती है?",cultural_semantics,hi-en,ENT / Respiratory,mild,False
CS056,"बलगम निकल रहा है (balgam nikal raha hai)
Literal: Phlegm is coming out
Meaning: Productive cough; bronchitis or infection.
Cultural context: Used for mucus-producing cough, common in Indian winter.
Synonyms/variants: खांसी में कफ, छाती साफ हो रही
Disambiguation questions: कफ का रंग क्या है? | खांसी कितने दिन से है? | धूम्रपान करते हैं?",cultural_semantics,hi-en,Respiratory,mild_to_moderate,True
CS057,"पेट में कीड़े हैं (pet mein keede hain)
Literal: There are worms in the stomach
Meaning: Worm infestation; common belief for unexplained abdominal pain in children.
Cultural context: Common lay belief especially among rural populations.
Synonyms/variants: पेट में कीड़े पड़ गए, कीड़ों की दवा लेते हैं
Disambiguation questions: क्या बच्चा पेट दर्द की शिकायत करता है? | खाने में मन नहीं करता? | पिछली बार कीड़ा मार दवा कब ली?",cultural_semantics,hi-en,Pediatrics / Gastrointestinal,mild_to_moderate,False
CS058,"सिर फट रहा है (sir phat raha hai)
Literal: Head is bursting
Meaning: Severe headache or migraine; expression of extreme pain.
Cultural context: Used hyperbolically to convey intense headache or stress.
Synonyms/variants: बहुत तेज़ सिरदर्द, सर दर्द से पागल हो गया
Disambiguation questions: कब से दर्द है? | रोशनी या आवाज़ से बढ़ता है? | कभी बेहोशी हुई?",cultural_semantics,hi-en,Neurology / Pain,severe,True
CS059,"दिल उचाट हो गया है (dil uchhat ho gaya hai)
Literal: Heart has lost interest
Meaning: Loss of motivation or enjoyment; anhedonia or burnout.
Cultural context: Common idiom indicating emotional fatigue or mild depression.
Synonyms/variants: मन नहीं लगता, दिल ऊब गया है
Disambiguation questions: क्या किसी चीज़ में आनंद आता है? | कब से ऐसा महसूस हो रहा है? | नींद और भूख कैसी है?",cultural_semantics,hi-en,Mental Health,mild_to_moderate,True
CS060,"वो दिन चल रहे हैं (wo din chal rahe hain)
Literal: Those days are going on
Meaning: Currently menstruating; euphemism for menstrual period.
Cultural context: Common modest way of saying ‘on period’ in India, often to avoid direct mention.
Synonyms/variants: पीरियड्स चल रहे हैं, मासिक धर्म चल रहा है
Disambiguation questions: क्या दर्द ज़्यादा है? | कितने दिन से चल रहे हैं? | रक्तस्राव कितना है?",cultural_semantics,hi-en,Reproductive Health,mild_to_moderate,False
